,Organization Name,Organization Name URL,Description,Founded Date,Total Funding Amount,Website,cb rank,ipo status,Number of Employees,Headquarters Location,Facebook,LinkedIn,Twitter,Industries,Headquarters Regions,Founders,Status,Funding Type,Also Known As,Legal Name,Related Hubs,Stock Symbol,Company Type,Exits,Estimated Revenue Range,Contact Email,Phone Number,Number of Lead Investments,Stock Symbol.1,Number of Exits,Total Funding Amount.1,Number of Funding Rounds,Number of Investments,Number of Current Team Members,Number of Board Members,Total Products Active,Downloads Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,events,Number of Acquisitions,Number of Lead Investors,Number of Investors,Number of Diversity Investments,Full Description,IPqwery Patents Granted,IPqwery Trademarks Registered,IPqwery Most Popular Patent Class,Websites rank,Transaction Name,Transaction Name URL,Acquired by,Announced Date,Price
17,Beaphar,https://www.crunchbase.com/organization/beaphar,"Beaphar is a manufactures and markets pet pharmaceuticals,healthcare products and complete foods to improve the lives of all types of pets.",01-Jan-42,None,www.beaphar.com/,"2,51,242",Private,501-1000,"Health Care
Manufacturing
Pet
Pharmaceutical",https://www.facebook.com/beapharuk/,https://www.linkedin.com/company/2662481/,https://twitter.com/beapharNL,"Care, Manufacturing, Pet, Pharmaceutical",None,None,Active,None,None,None,None,None,For Profit,None,None,None,31-0-57-23-488-34,None,None,None,None,None,None,None,None,14,None,27,"52,780",13.96%,None,None,None,None,None,None,None,None,None,None,"4,40,581",None,None,None,None,None
18,Bell Laboratories,https://www.crunchbase.com/organization/bell-laboratories,Bell Laboratories is a manufacturer & supplier of rodenticides & other rodent control products for pest control & agricultural industries.,01-Jan-74,None,www.belllabs.com,"2,68,434",Private,251-500,"Madison, Wisconsin, United States",https://www.facebook.com/Bell-Laboratories-Inc-58604531155/,https://www.linkedin.com/company/bell-laboratories-inc-/,https://twitter.com/BellLabsMouse,"Consumer, Goods, Manufacturing",Great Lakes Midwestern US,None,Active,None,None,Bell Laboratories Inc.,None,None,For Profit,None,$100M to $500M,None,1-608-241-0202,None,None,None,None,None,None,1,None,15,None,25,"20,364",-10.68%,3,None,None,None,None,None,None,None,None,None,"8,19,496",None,None,None,None,None
19,BHS,https://www.crunchbase.com/organization/bhs-d033,BHS deals with construction and renovation services as well as offers building materials and rental services.,01-Jan-78,None,www.bhs-baustoffe.de,"1,27,223",Private,01-Oct,"Sehnde, Niedersachsen, Germany",https://www.facebook.com/Bhsbauzentrum/,https://www.linkedin.com/company/bhs-baustoffe/about/,None,"Material, Construction, Rental",European Union (EU),None,Active,None,None,None,None,None,For Profit,None,Less than $1M,info@bhs-baustoffe.de,49-5138-608120,None,None,None,None,None,None,None,None,Tech,None,15,None,None,11,None,None,None,None,None,None,49,70,"Machines and machine tools,",None,None,None,None,None,None
20,BHS,https://www.crunchbase.com/organization/bhs-41d5,"BHS is a manufacturer of material handling, warehouse, and forklift battery handling equipment.",1979,None,www.bhs1.com/,"3,95,944",Private,Nov-50,"Saint Louis, Missouri, United States",https://www.facebook.com/BHSbuilt/,https://www.linkedin.com/company/bhs-inc/,https://twitter.com/BHSbuilt,"Machinery, Manufacturing, Manufacturing, Warehousing",Midwestern US,None,Active,None,None,BHS Inc.,None,None,For Profit,None,$10M to $50M,sales@bhs1.com,1-314-423-7091,None,None,None,None,None,None,None,None,Tech,None,50,"2,657",62.41%,None,None,None,None,None,None,None,None,None,None,"23,84,334",None,None,None,None,None
21,Bioforce,https://www.crunchbase.com/organization/bioforce,Bioforce rears and sells biological control agents for the control of plant pests and diseases.,01-Jan-97,None,www.bioforce.co.nz/,"4,34,723",Private,01-Oct,"Papakura, Auckland, New Zealand",https://www.facebook.com/www.bioforce.co.nz/,https://www.linkedin.com/company/bioforce-limited/,None,Biotechnology,Asia-Pacific (APAC) Australasia,None,Active,None,None,None,None,None,For Profit,None,None,None,None,None,None,None,None,None,None,None,None,Tech,None,17,303,-64.77%,None,None,None,None,None,None,None,None,None,None,"64,33,843",None,None,None,None,None
22,Bissell,https://www.crunchbase.com/organization/bissell,Bissell is a privately owned vacuum cleaner and floor care product manufacturing corporation headquartered in Walker.,1876,None,www.bissell.com,"1,16,367",Private,1001-5000,"Grand Rapids, Michigan, United States",https://www.facebook.com/bissell,None,https://www.twitter.com/bissellclean,None,Great Lakes Midwestern US,None,Active,None,None,None,None,None,For Profit,None,$100M to $500M,None,616-453-4451,None,None,None,None,None,None,2,None,22,None,97,"29,69,736",2.94%,80,None,None,None,None,None,None,526,311,"Machines and machine tools,","18,236",None,None,None,None,None
23,Bombril,https://www.crunchbase.com/organization/bombril,Bombril engages in the hygiene and cleaning products industry.,14-Jan-48,None,bombril.com.br/,"4,33,001",Public,1001-5000,"São Bernardo Do Campo, Sao Paulo, Brazil",https://www.facebook.com/BombrilOficial/,https://www.linkedin.com/company/bombril/,https://twitter.com/bombriloficial,"Goods, Manufacturing",Latin America,Roberto Sampaio Ferreira,Active,None,None,None,None,None,For Profit,None,$100M to $500M,None,11-4366-1001,None,None,None,None,None,None,1,None,Tech,None,26,"55,717",-39.86%,None,None,None,None,None,None,None,None,None,None,"4,24,194",None,None,None,None,None
24,Caprabo,https://www.crunchbase.com/organization/caprabo,"Cuenta oficial de Caprabo, compañía de supermercados de referencia en Cataluña, Madrid y Navarra.",1959,None,www.caprabo.com/es/home,"3,29,881",Private,10001+,"Barcelona, Catalonia, Spain",http://www.facebook.com/Caprabo,None,http://twitter.com/caprabo,None,European Union (EU),None,Active,None,None,None,None,None,For Profit,None,Less than $1M,None,34 93 261 60 00,None,None,None,None,None,None,None,None,15,"7,280",40,"83,831",10.60%,None,None,None,None,None,None,None,None,None,None,"3,17,551",None,None,None,None,None
25,Caramba,https://www.crunchbase.com/organization/caramba,Caramba is a branding agency with proven experience in creating and cultivating strong brands for all kinds of clients.,None,None,wearecaramba.com/,"3,07,203",Private,Nov-50,"Birmingham, Birmingham, United Kingdom",https://www.facebook.com/hellocaramba/,None,None,"Creative, Agency, Marketing",None,None,Active,None,None,None,None,None,For Profit,None,None,mark@caramba-marketing.co.uk,44.121.684.8485,None,None,None,None,None,None,None,None,7,None,23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26,Cencosud,https://www.crunchbase.com/organization/cencosud,Cencosud is a publicly traded multinational retail company.,1952,None,www.cencosud.com/en/,"1,67,595",Delisted,10001+,"Las Condes, Region Metropolitana, Chile",http://www.facebook.com/CencosudArg,http://www.linkedin.com/company/cencosud-s.a.,http://twitter.com/Cencosud_SA,Shopping,Latin America,None,Active,None,None,None,None,None,For Profit,None,None,None,+56 600 300 0000,None,None,None,None,None,None,2,None,10,"44,663",50,"2,00,634",24.33%,20,None,2,None,None,None,None,None,2,"Advertising; business,","1,66,672",None,None,None,None,None
27,Century Plyboards,https://www.crunchbase.com/organization/century-plyboards,CenturyPly is the unprecedented choice of architects and interior designers based company.,04-Dec-86,None,www.centuryply.com/,"4,39,143",Private,1001-5000,"Kolkata, West Bengal, India",https://www.facebook.com/CenturyPlyOfficial,https://www.linkedin.com/company/century-plyboards-i-limited/,https://twitter.com/CenturyPlyIndia,Material,Asia-Pacific (APAC),"Sajjan Bhajanka, Sanjay Agarwal",Active,None,None,Century Plyboards (I) Limited,None,None,For Profit,None,None,info.centuryply@gmail.com,033-3940 3950,None,None,None,None,None,None,None,3,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,CGP,https://www.crunchbase.com/organization/cgp,"CGP specializes in the design, manufacture and marketing of cables and high temperature metallic braids & sleeves.",30-Dec-96,None,www.cables-cgp.com,"3,06,463",Private,01-Oct,"Saint-chamond, Rhone-Alpes, France",None,https://www.linkedin.com/company/cgp-cables-for-global-performance/,None,"Manufacturing, Marketing",European Union (EU),None,Active,None,Cables for Global Performance,None,None,None,For Profit,None,$1M to $10M,contact@cables-cgp.com,33 477310254,None,None,None,None,None,None,None,None,Tech,None,1,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Chase Products,https://www.crunchbase.com/organization/chase-products,"Chase Products manufactures & distributes a broad range of aerosol household products, paints, insecticides, craft & personal care products.",1927,None,www.chaseproducts.com,"2,13,972",Private,101-250,"Broadview, Illinois, United States",https://www.facebook.com/ChaseProducts,https://www.linkedin.com/company/chase-products/,https://twitter.com/chaseproducts,"Consumer, Goods, Manufacturing",Greater Chicago Area Great Lakes Midwestern US,None,Active,None,None,Chase Products acquired by The Starco Group,None,None,For Profit,None,$10M to $50M,None,-8367,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Chase Products acquired by The Starco Group,https://www.crunchbase.com/acquisition/the-starco-group-acquires-chase-products--a49c9cb4,The,Mar,None
30,Chugai Pharmaceutical,https://www.crunchbase.com/organization/chugai-pharmaceuticals,"Chugai Pharmaceutical focuses its business on manufacturing, sales, import, and export of pharmaceuticals.",10-Mar-25,None,www.chugai-pharm.co.jp/english/,"1,12,672",Public,10001+,"Tokyo, Tokyo, Japan",None,None,None,"Clinical, Trials, Health, Care, Medical",Asia-Pacific (APAC),None,Active,None,????,Chugai Pharmaceutical Co. Ltd.,None,None,For Profit,None,$1B to $10B,None,81 3 3281 6611,None,None,None,None,None,3,3,3,Tech,None,25,"5,24,068",6.30%,34,None,1,None,None,None,None,39,None,None,"79,317",None,None,None,None,None
31,Citromax,https://www.crunchbase.com/organization/citromax,Citromax is food production firm dealing with the agricultural production & manufacturing of juices & other food products.,01-Jan-64,None,www.citromax.com/,"5,61,716",Private,01-Oct,"Carlstadt, New Jersey, United States",https://www.facebook.com/CitromaxGroup,https://www.linkedin.com/showcase/citromax-flavors/about/,https://www.twitter.com/https://twitter.com/CitromaxGroup,"Food, and, Beverage, Food, Processing, Manufacturing",Greater New York Area East Coast Northeastern US,None,Active,None,None,Citromax,None,None,For Profit,None,$1M to $10M,proyectoredes@citromax.com.ar,+1 201-933-8405,None,None,None,None,None,None,None,None,18,None,None,None,None,None,None,None,None,None,None,None,None,14,"Agricultural products; live animals,",None,None,None,None,None,None
32,Clicks Group,https://www.crunchbase.com/organization/clicks-group,"Clicks Group is a group company for healthcare, beauty and lifestyle products.",None,None,clicksgroup.co.za/,"3,00,930",Public,1001-5000,"Cape Town, NA - South Africa, South Africa",None,https://www.linkedin.com/company/clicks-group/,None,"Health, Care, Lifestyle",None,None,Active,None,New Clicks Holdings,Clicks Group Limited,None,OTC:CLCGY,For Profit,None,None,registrar@computershare.co.za,27-21-460-1911,None,OTC:CLCGY,None,None,None,None,None,None,23,None,34,"1,00,418",-2.82%,5,None,None,None,None,None,None,None,None,None,"2,78,298",None,None,None,None,None
33,Compo,https://www.crunchbase.com/organization/compo,A resident startup of the Skolkovo Foundation.,1956,RUB200M,retail.tools,"63,167",Private,Nov-50,"Cary, North Carolina, United States",None,None,None,"Non, Profit, Residential",Research Triangle East Coast Southern US,None,Active,Seed,None,None,None,None,None,None,None,None,None,None,None,None,RUB200M,1,None,1,None,Tech,None,7,162,-51.06%,3,None,None,1,1,None,None,None,None,None,"69,43,234",None,None,None,None,None
34,Conter,https://www.crunchbase.com/organization/conter,Conter is a company specializing in the design and development of integrated industrial automation and process control systems.,01-Jan-97,None,www.conter.es,"9,20,308",Private,01-Oct,"Barcelona, Catalonia, Spain",None,None,None,"Product, Design, Robotics",European Union (EU),None,Active,None,None,None,None,None,For Profit,None,$1M to $10M,info@conter.es,34-935 820 131,None,None,None,None,None,None,None,None,Tech,None,17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,Cosnova,https://www.crunchbase.com/organization/casanova-e7b0,Cosnova focuses on offering unique decorative cosmetics products through its brand's Essence and Catrice.,2001,None,www.cosnova.com/de,"4,60,392",Private,501-1000,"Sulzbach, Bayern, Germany",https://www.facebook.com/pages/Cosnova/297211643635221,https://www.linkedin.com/company/cosnova-gmbh/,None,"Cosmetics, Fashion, Lifestyle, Product, Management",European Union (EU),None,Active,None,None,Cosnova GmbH,None,None,For Profit,None,$100M to $500M,service@cosnova.eu,+49 619-676-1560,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36,Cosway,https://www.crunchbase.com/organization/cosway,Cosway is a professional company that specializes in selling and renting properties for markets.,01-Jan-35,None,www.cosway.co.uk/,"4,00,174",Private,Nov-50,"London, England, United Kingdom",https://www.facebook.com/Cosway-Estates-Mill-Hill-115992263174601/,https://www.linkedin.com/company/cosway-estates/about/,https://twitter.com/coswaypremier,"Estate, Real, Estate, Investment",None,None,Active,None,None,None,None,None,For Profit,None,None,None,44 (0) 20 8952 1144,None,None,None,None,None,None,1,None,Tech,None,28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,Coty,https://www.crunchbase.com/organization/coty,"Coty Inc is a New York based beauty company with portfolios in fragrance, color cosmetics and skin care.",1904,$750M,www.coty.com,"1,771",Public,10001+,"New York, New York, United States",https://www.facebook.com/COTYInc,http://www.linkedin.com/company/5058,https://twitter.com/COTYInc,"Cosmetics, Health, Care",Greater New York Area East Coast Northeastern US,François Coty,Active,"Post-IPO, Equity",None,None,None,NYSE:COTY,For Profit,None,$1B to $10B,coty_facebook@cotyinc.com,(212)389-7300,1,NYSE:COTY,None,$750M,2,1,12,4,28,None,44,"1,52,355",6.38%,280,None,12,1,3,None,"Coty Inc. is engaged in manufacturing, marketing and distribution of women’s and men’s fragrances, color cosmetics and skin and body care related products globally. The Company operates in three segments: Fragrances, Color Cosmetics and Skin & Body Care. The Company’s power brands consist of adidas, Calvin Klein, Chloe, Davidoff, Marc Jacobs,OPI, philosophy, Playboy, Rimmel and Sally Hansen. The Company sells products in each of its segments through retailers, including hypermarkets, supermarkets, independent and chain drug stores and pharmacies, upscale perfumeries, upscale and mid-tier department stores, nail salons, specialty retailers, duty-free shops and traditional food, drug and mass retailers.
Innovation is in their bloodstream. They capture trends sooner, thereby creating enduring brands that speak to the aspirations and lifestyles of today's customers. Driven by passion, creative freedom, and an entrepreneurial spirit, COTY has built a unique portfolio of beauty brands that have produced some of the strongest consumer franchises in history.
Their employees will tell you that the culture at COTY is what makes the difference in the first place. The entrepreneurial spirit drives their teams to move their brands and ideas faster, further, and freer.",219,"1,405","Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics,","2,05,231",None,None,None,None,None
38,Datong,https://www.crunchbase.com/organization/datong,Datong is committed to providing the most robust and reliable ‘no compromise’ solutions as a strategic partner and trusted supplier to,1974,None,www.datong.co.uk,"3,21,546",Private,51-100,"Leeds, Leeds, United Kingdom",None,https://www.linkedin.com/company/datong/,None,"Lighting, Product, Search",None,None,Active,None,None,Datong acquired by Seven Technologies,None,None,For Profit,None,None,info@datong.co.uk,44 11 3239 5350,None,None,None,None,None,None,None,None,5,None,10,None,None,1,None,None,None,None,None,None,None,2,"Scientific and electric apparatus and instruments,",None,Datong acquired by Seven Technologies,https://www.crunchbase.com/acquisition/seven-technologies-acquires-datong--00fb5f32,Seven,May,£7.3M
